year,01,02,03,04,05,06,07,08,09,10,11,12
1969,0.5,-2.1,0.9,7.0,12.9,14.8,18.4,16.5,13.8,10.0,5.1,-4.7
1970,-2.6,-1.1,1.2,5.3,11.4,17.2,16.1,16.8,13.2,8.9,5.8,0.5
1971,-1.1,1.4,1.0,8.2,14.0,13.9,18.0,17.8,12.0,8.8,3.5,3.6
1972,-2.3,2.0,5.3,7.2,11.3,14.5,17.7,15.7,10.7,6.8,4.3,0.8
1973,0.0,1.0,3.9,5.1,12.5,16.1,17.2,17.7,14.1,7.3,3.3,0.2
1974,3.3,3.2,5.7,8.0,11.0,14.1,15.3,17.1,13.2,5.5,4.9,4.8
1975,4.5,1.4,3.6,6.8,11.8,14.7,18.2,18.8,15.5,7.5,3.1,1.2
1976,1.2,0.5,1.3,6.9,12.8,17.4,19.3,16.2,12.7,9.5,4.8,-1.0
1977,0.4,3.0,6.1,5.7,11.7,15.5,16.5,15.9,11.9,10.2,5.1,2.1
1978,0.8,-1.4,4.8,6.5,11.6,14.8,15.5,15.1,12.2,9.1,4.2,0.3
1979,-4.5,-1.8,3.7,6.3,12.4,16.5,15.3,15.5,13.1,8.6,3.7,3.8
1980,-2.7,2.1,3.3,6.0,10.7,14.7,15.1,16.6,13.9,8.0,3.0,0.7
1981,-1.5,-0.4,6.8,7.8,13.2,15.3,16.4,16.4,14.0,8.1,4.6,-2.2
1982,-2.3,-0.1,4.2,6.5,12.4,16.3,18.9,17.3,15.7,9.7,6.0,2.2
1983,4.0,-1.7,4.6,8.6,11.3,16.3,20.4,18.1,13.7,9.2,3.5,0.7
1984,1.1,-0.3,2.0,6.8,10.8,13.7,15.9,17.0,12.3,10.2,4.9,1.2
1985,-5.5,-3.1,2.8,7.6,13.4,13.5,17.4,16.2,13.5,8.8,0.8,3.7
1986,0.1,-6.4,3.0,6.3,14.1,15.9,17.0,16.3,11.3,9.6,5.9,2.1
1987,-5.9,-0.3,-0.4,9.1,9.7,13.9,16.9,15.5,14.5,9.4,4.9,2.1
1988,3.5,2.1,2.7,8.0,14.2,15.0,17.0,17.0,13.2,9.7,3.0,3.4
1989,2.5,3.4,7.0,7.2,13.8,15.3,17.7,17.0,14.4,10.4,2.7,2.4
1990,2.5,5.7,6.9,7.4,13.9,15.2,16.7,18.3,11.8,10.2,4.5,0.8
1991,1.5,-2.4,6.4,7.1,9.5,13.5,19.2,17.9,14.8,8.2,4.0,0.7
1992,1.0,2.8,4.8,7.8,14.5,17.3,18.6,19.1,13.4,6.5,5.4,1.3
1993,2.5,-0.7,3.6,10.4,14.6,15.7,16.1,15.8,12.2,7.9,0.4,3.2
1994,3.0,-0.2,6.3,7.9,12.6,15.9,21.3,17.8,13.2,7.6,7.2,3.6
1995,0.2,4.6,3.1,8.5,12.2,14.3,20.1,18.3,12.6,11.8,3.0,-1.8
1996,-2.8,-2.2,1.0,8.4,11.2,15.7,15.9,17.2,10.9,9.2,4.5,-2.4
1997,-2.6,4.1,5.8,6.4,12.7,15.9,17.2,19.8,13.7,7.7,4.0,2.2
1998,2.4,4.3,5.0,8.9,14.0,16.5,16.4,16.7,13.4,8.7,1.6,1.0
1999,2.6,0.4,5.4,8.9,13.8,15.2,19.0,17.2,16.8,9.0,3.5,2.2
2000,1.1,3.9,5.2,10.2,14.6,17.0,15.3,17.6,13.9,10.6,6.1,3.1
2001,0.9,2.3,4.2,7.1,14.4,14.3,18.6,18.6,11.8,12.5,3.8,-0.2
2002,1.2,5.1,5.4,8.1,13.8,17.4,17.7,18.8,13.2,8.3,5.6,0.3
2003,-0.3,-1.9,5.3,8.5,14.1,19.4,19.1,20.6,13.9,5.9,6.0,1.8
2004,-0.1,2.4,4.1,9.4,11.6,15.3,16.8,18.4,14.0,10.1,4.2,1.1
2005,2.0,-1.0,3.6,9.3,12.8,16.4,18.0,15.8,15.0,11.0,4.2,0.9
2006,-2.6,-0.4,1.5,8.0,13.1,16.8,22.0,15.5,16.9,12.1,7.0,4.4
2007,4.8,3.9,6.2,11.5,14.2,17.4,17.2,16.9,12.6,8.4,3.7,1.6
2008,3.7,3.7,4.2,7.6,14.5,16.9,18.0,17.4,12.4,9.1,5.1,1.1
2009,-2.2,0.5,4.3,11.8,13.6,14.8,18.0,18.7,14.7,8.2,7.4,0.3
2010,-3.7,-0.5,4.2,8.7,10.4,16.3,20.3,16.7,12.4,8.1,4.8,-3.7
2011,1.0,0.9,4.9,11.6,13.9,16.5,16.1,17.7,15.2,9.4,4.5,3.9
2012,1.9,-2.5,6.9,8.2,14.2,15.5,17.4,18.4,13.6,8.7,5.2,1.5
2013,0.2,-0.7,0.1,8.1,11.8,15.7,19.5,17.9,13.3,10.6,4.6,3.6
2014,2.1,4.3,6.9,10.8,12.4,16.1,19.3,16.0,14.9,11.9,6.5,2.7
2015,2.2,0.7,5.2,8.4,12.3,15.8,19.4,19.9,13.0,8.4,7.5,6.5
2016,1.0,3.3,4.0,7.9,13.7,17.0,18.6,17.7,16.9,8.5,3.8,2.2
2017,-2.2,2.9,7.2,7.4,14.1,17.8,18.1,17.9,12.8,11.1,5.1,2.7
2018,3.7,-1.9,2.4,12.3,16.0,17.7,20.3,19.9,15.1,10.7,5.2,3.9
2019,0.6,4.0,6.6,9.6,11.0,19.8,18.9,19.1,14.1,10.8,5.2,3.8
2020,3.5,5.3,5.3,10.4,11.9,16.9,17.7,20.0,14.8,10.2,6.2,3.1
2021,0.6,1.7,4.8,6.0,10.7,19.0,18.4,16.4,15.2,9.6,4.9,2.6
2022,2.8,4.5,5.1,7.8,14.4,18.3,19.1,20.2,13.4,12.5,6.4,1.8
2023,3.6,3.2,5.7,7.5,13.1,18.6,18.7,18.3,17.3,11.9,5.6,4.1
